city,city_ascii,state_id,state_name,county_fips,county_name,lat,lng,population,density,source,military,incorporated,timezone,ranking,zips,id
Swede Heaven,Swede Heaven,WA,Washington,53061,Snohomish,48.2829,-121.7136,1163,62.5,shape,FALSE,FALSE,America/Los_Angeles,3,98223,1840037821
Quinebaug,Quinebaug,CT,Connecticut,09150,Northeastern Connecticut,42.0107,-71.937,1163,103.4,shape,FALSE,FALSE,America/New_York,3,06255 06262 06245,1840003280
Edinburg,Edinburg,IL,Illinois,17021,Christian,39.658,-89.3905,1163,718.3,shape,FALSE,TRUE,America/Chicago,3,62531,1840012545
Cottage City,Cottage City,MD,Maryland,24033,Prince George's,38.9384,-76.9492,1162,2444.2,shape,FALSE,TRUE,America/New_York,2,20722 20781,1840005986
Williamsburg,Williamsburg,PA,Pennsylvania,42013,Blair,40.463,-78.2049,1162,1301.9,shape,FALSE,TRUE,America/New_York,3,16693,1840001088
Occidental,Occidental,CA,California,06097,Sonoma,38.4004,-122.9349,1162,90.3,shape,FALSE,FALSE,America/Los_Angeles,3,95465 95472 95419,1840018837
Inglenook,Inglenook,CT,Connecticut,09190,Western Connecticut,41.5229,-73.4736,1162,1015.6,shape,FALSE,FALSE,America/New_York,3,06812,1840152372
Cobb Island,Cobb Island,MD,Maryland,24017,Charles,38.2647,-76.8496,1162,716.9,shape,FALSE,FALSE,America/New_York,3,20625 20661 20664,1840024647
Lindsay,Lindsay,TX,Texas,48097,Cooke,33.6418,-97.2186,1161,274.8,shape,FALSE,TRUE,America/Chicago,3,76240 76250,1840021961
Glandorf,Glandorf,OH,Ohio,39137,Putnam,41.0279,-84.0791,1161,258.1,shape,FALSE,TRUE,America/New_York,3,45875 45848,1840011756
Baldwin,Baldwin,MI,Michigan,26085,Lake,43.8971,-85.8531,1161,352.9,shape,FALSE,TRUE,America/Detroit,3,49304,1840010948
Chatsworth,Chatsworth,IL,Illinois,17105,Livingston,40.7293,-88.2974,1161,167.2,shape,FALSE,TRUE,America/Chicago,3,60921,1840009353
Geronimo,Geronimo,OK,Oklahoma,40031,Comanche,34.4831,-98.3877,1161,300.7,shape,FALSE,TRUE,America/Chicago,3,73543,1840021853
Livonia,Livonia,LA,Louisiana,22077,Pointe Coupee,30.5623,-91.5501,1161,236.7,shape,FALSE,TRUE,America/Chicago,3,70757 70755,1840017145
Carson City,Carson City,MI,Michigan,26117,Montcalm,43.1815,-84.8462,1161,392,shape,FALSE,TRUE,America/Detroit,3,48811,1840002876
Riddle,Riddle,OR,Oregon,41019,Douglas,42.9542,-123.3644,1161,706.2,shape,FALSE,TRUE,America/Los_Angeles,3,97469,1840020033
Boley,Boley,OK,Oklahoma,40107,Okfuskee,35.4904,-96.4795,1160,277.5,shape,FALSE,TRUE,America/Chicago,3,74829,1840021753
Five Points,Five Points,FL,Florida,12023,Columbia,30.2225,-82.6465,1160,206.3,shape,FALSE,FALSE,America/New_York,3,32055,1840013954
Seis Lagos,Seis Lagos,TX,Texas,48085,Collin,33.071,-96.5665,1160,589,shape,FALSE,FALSE,America/Chicago,3,75098,1840150147
Ladera,Ladera,CA,California,06081,San Mateo,37.3999,-122.1989,1160,1042.1,shape,FALSE,FALSE,America/Los_Angeles,3,94028,1840028324
Howard,Howard,CO,Colorado,08043,Fremont,38.4098,-105.8424,1159,26.7,shape,FALSE,FALSE,America/Denver,3,81233,1840024645
Fairfield Beach,Fairfield Beach,OH,Ohio,39045,Fairfield,39.9183,-82.4791,1159,683.1,shape,FALSE,FALSE,America/New_York,3,43046 43076,1840005561
Waldo,Waldo,AR,Arkansas,05027,Columbia,33.3524,-93.2956,1159,204,shape,FALSE,TRUE,America/Chicago,3,71770,1840015729
Marion Center,Marion Center,MA,Massachusetts,25023,Plymouth,41.7042,-70.7629,1159,436.7,shape,FALSE,TRUE,America/New_York,3,02738,1840073508
Gnadenhutten,Gnadenhutten,OH,Ohio,39157,Tuscarawas,40.3598,-81.4289,1158,488.6,shape,FALSE,TRUE,America/New_York,3,44629,1840012088
West Easton,West Easton,PA,Pennsylvania,42095,Northampton,40.6781,-75.2357,1158,2984.3,shape,FALSE,TRUE,America/New_York,2,18042,1840000983
Frankfort,Frankfort,MI,Michigan,26019,Benzie,44.6361,-86.2332,1158,321.6,shape,FALSE,TRUE,America/Detroit,3,49635,1840002304
Cascade-Chipita Park,Cascade-Chipita Park,CO,Colorado,08041,El Paso,38.9433,-105.0023,1158,33.5,shape,FALSE,TRUE,America/Denver,4,80809 80819 80863 80933,1840073905
Elbow Lake,Elbow Lake,MN,Minnesota,27051,Grant,45.9902,-95.9791,1158,323,shape,FALSE,TRUE,America/Chicago,3,56531,1840007766
Scotts Hill,Scotts Hill,TN,Tennessee,47077,Henderson,35.5188,-88.2527,1158,122,shape,FALSE,TRUE,America/Chicago,3,38374,1840017792
Eatons Neck,Eatons Neck,NY,New York,36103,Suffolk,40.9324,-73.3955,1158,445,shape,FALSE,FALSE,America/New_York,3,11768,1840034049
Kenansville,Kenansville,NC,North Carolina,37061,Duplin,34.9598,-77.9659,1157,211.1,shape,FALSE,TRUE,America/New_York,3,28349,1840016466
Lake Don Pedro,Lake Don Pedro,CA,California,06043,Mariposa,37.659,-120.3329,1157,24.3,shape,FALSE,TRUE,America/Los_Angeles,4,95311 95329,1840042847
West Pasco,West Pasco,WA,Washington,53021,Franklin,46.2498,-119.1687,1157,305.5,shape,FALSE,FALSE,America/Los_Angeles,3,99301,1840037891
Thornport,Thornport,OH,Ohio,39127,Perry,39.921,-82.4272,1157,371.6,shape,FALSE,FALSE,America/New_York,3,43076,1840026606
Babson Park,Babson Park,FL,Florida,12105,Polk,27.8342,-81.5281,1156,292.9,shape,FALSE,FALSE,America/New_York,3,33827,1840014124
New London,New London,MN,Minnesota,27067,Kandiyohi,45.2974,-94.9478,1156,345.2,shape,FALSE,TRUE,America/Chicago,3,56273,1840007801
